Original	Article	Author	PostAuthor	No	Month	Year
Photo, Williams, Rev. M.C., 30 - April 1995	Photo, Wamuran Baptist Church		Williams, Rev. M.C.	30	4	1995
Pastoral Profiles 03 - Rev. E.R. Makin, Higlett, Rev. W., Makin, Rev. Edwin Robert, 31 - July 1995	Pastoral Profiles 03 - Rev. E.R. Makin	Higlett, Rev. W.	Makin, Rev. Edwin Robert	31	7	1995
Pastoral Profiles 04 - Rev. T. Vigis, Higlett, Rev. W., Vigis, Rev. Thomas, 31 - July 1995	Pastoral Profiles 04 - Rev. T. Vigis	Higlett, Rev. W.	Vigis, Rev. Thomas	31	7	1995
Photo, Wamuran Baptist Church, 31 - July 1995	Photo, Wamuran Baptist Church		Wamuran Baptist Church	31	7	1995
The outlook, Ball, Dr. L.J., Editorial, 31 - July 1995	The outlook	Ball, Dr. L.J.	Editorial	31	7	1995
The Soren Jensen Family Part 1, Ball, Dr. L.J., Jensen Family, 31 - July 1995	The Soren Jensen Family Part 1	Ball, Dr. L.J.	Jensen Family	31	7	1995
Additional note, Makin, Rev. E.R., 32 - Dec 1995	Additional note	Makin, Rev. E.R.		32	12	1995
Annual Report, Chataway, Ellen, BHSQ - REPORT, 32 - Dec 1995	Annual Report	Chataway, Ellen	BHSQ - REPORT	32	12	1995
Assembly Highlight, Ball, Dr. L.J., Editorial, 32 - Dec 1995	Assembly Highlight	Ball, Dr. L.J.	Editorial	32	12	1995
Pastoral Profiles 05 - Rev. C. Krueger, Higlett, Rev. W., Krueger, Rev. Carl, 32 - Dec 1995	Pastoral Profiles 05 - Rev. C. Krueger	Higlett, Rev. W.	Krueger, Rev. Carl	32	12	1995
Pastoral Profiles 06 - Rev. J.B. Sneyd, Higlett, Rev. W., Sneyd, Rev. John B., 32 - Dec 1995	Pastoral Profiles 06 - Rev. J.B. Sneyd	Higlett, Rev. W.	Sneyd, Rev. John B.	32	12	1995
The Soren Jensen Family Part 2, Ball, Dr. L.J., Jensen Family, 32 - Dec 1995	The Soren Jensen Family Part 2	Ball, Dr. L.J.	Jensen Family	32	12	1995
Williams, Rev. M.C., Numismatics, 32 - Dec 1995	Williams, Rev. M.C.		Numismatics	32	12	1995
Flying Start, Ball, Dr. L.J., Editorial, 33 - April 1996	Flying Start	Ball, Dr. L.J.	Editorial	33	4	1996
Joshua Jenyns - a controversial figure, Williams, Rev. M.C., Jenyns, Mr Joshua, 33 - April 1996	Joshua Jenyns - a controversial figure	Williams, Rev. M.C.	Jenyns, Mr Joshua	41	4	1996
My ancestors were Baptists by G.R. Breed, Parker, David, Book Review, 33 - April 1996	My ancestors were Baptists by G.R. Breed	Parker, David	Book Review	33	4	1996
Pastoral Profiles - Rev J. B. Sneyd - further word, Parker, David, Sneyd, Rev. J.B., 33 - April 1996	Pastoral Profiles - Rev J. B. Sneyd - further word	Parker, David	Sneyd	33	4	1996
Pastoral Profiles 07 - Rev. C. Boyall, Higlett, Rev. W., Boyall, Rev. Charles, 33 - April 1996	Pastoral Profiles 07 - Rev. C. Boyall	Higlett, Rev. W.	Boyall, Rev. Charles	33	4	1996
Pastoral Profiles 08 - Rev. J. Glover, Higlett, Rev. W., Glover, Rev. John, 33 - April 1996	Pastoral Profiles 08 - Rev. J. Glover	Higlett, Rev. W.	Glover, Rev. John	33	4	1996
Report of Callide Valley CE, Callide Valley Christian Endeavour, 33 - April 1996	Report of Callide Valley CE		Callide Valley Christian Endeavour	33	4	1996
The origins of Thangool Baptist Church, Ainsworth, Mr George, Thangool Baptist Church, 33 - April 1996	The origins of Thangool Baptist Church	Ainsworth, Mr George	Thangool Baptist Church	33	4	1996
Baptists in Australia by P.J. Hughes, Parker, David, Book Review, 34 - July 1996	Baptists in Australia by P.J. Hughes	Parker, David	Book Review	34	7	1996
Cemeteries - a forgotten resource?, Kopittke, Eric and Rosemary, Cemeteries, 34 - July 1996	Cemeteries - a forgotten resource?	Kopittke, Eric and Rosemary	Cemeteries	52	7	1996
Pastoral Profiles 09 - Rev. W. Higlett, Kingsford, Rev. J., Higlett, Rev. William, 34 - July 1996	Pastoral Profiles 09 - Rev. W. Higlett	Kingsford, Rev. J.	Higlett, Rev. William	34	7	1996
Pastoral Profiles 10 - Rev. F.G. Buckingham, Whale, Rev. W., Buckingham, Rev. Frederick G., 34 - July 1996	Pastoral Profiles 10 - Rev. F.G. Buckingham	Whale, Rev. W.	Buckingham, Rev. Frederick G.	34	7	1996
Promotion, preservation, publication, Ball, Dr. L.J., Editorial, 34 - July 1996	Promotion, preservation, publication	Ball, Dr. L.J.	Editorial	34	7	1996
Queensland at the Baptist World Alliance, Parker, David, Baptist World Alliance, 34 - July 1996	Queensland at the Baptist World Alliance	Parker, David	Baptist World Alliance	34	7	1996
Baptist Archives in 1996, Parker, David, Archives, 35 - Nov 1996	Baptist Archives in 1996	Parker, David	Archives	35	11	1996
Danish Baptists of Freestone Creek, Williams, Rev. M.C., Danish Baptists, 35 - Nov 1996	Danish Baptists of Freestone Creek	Williams, Rev. M.C.	Danish Baptists	35	11	1996
Mayurbhanj Messengers, Rolley, Ailsa, Book Review, 35 - Nov 1996	Mayurbhanj Messengers	Rolley, Ailsa	Book Review	35	11	1996
Pastoral Profiles 11 - Alexander, Rev. J.M, Higlett, Rev. W., Alexander, Rev. J.M., 35 - Nov 1996	Pastoral Profiles 11 - Alexander	Rev. J.M, Higlett	Rev. W., Alexander	35	11	1996
Pastoral Profiles 12 - Leitch, Rev. T., Higlett, Rev. W., Leitch, Rev. T., 35 - Nov 1996	Pastoral Profiles 12 - Leitch	Rev. T., Higlett	Rev. W., Leitch	35	11	1996
Baptist SS Examination Gold Medals, Williams, Rev. M.C., Sunday School, 36 - April 1997	Baptist SS Examination Gold Medals	Williams, Rev. M.C.	Sunday School	36	4	1997
Brisbane Cemeteries for Baptist Family History, Parker, David, Cemeteries, 36 - April 1997	Brisbane Cemeteries for Baptist Family History	Parker, David	Cemeteries	36	4	1997
Pastoral Profiles 11a - Page, Rev. W., Higlett, Rev. W., Page, Rev. W., 36 - April 1997	Pastoral Profiles 11a - Page	Rev. W., Higlett	Rev. W., Page	36	4	1997
Pastoral Profiles 12a - Richer, Rev. W., Higlett, Rev. W., Richer, Rev. W., 36 - April 1997	Pastoral Profiles 12a - Richer	Rev. W., Higlett	Rev. W., Richer	36	4	1997
German Baptists Revisited I, Parker, David, German Baptists, 37 - July 1997	German Baptists Revisited I	Parker, David	German Baptists	37	7	1997
Independent India's Troubled North East, Kirkwood, Rev. Dr N., Book Review - Chataway, Ellen, 37 - July 1997	Independent India's Troubled North East	Kirkwood, Rev. Dr N.	Book Review - Chataway	37	7	1997
Pastoral Profiles 13 - Coombs, Rev. H., Higlett, Rev. W., Coombs, Rev. H., 37 - July 1997	Pastoral Profiles 13 - Coombs	Rev. H., Higlett	Rev. W., Coombs	37	7	1997
Rev. J. Heinrich, Scanlan, Richard A., Heinrich, Rev. J., 37 - July 1997	Rev. J. Heinrich	Scanlan, Richard A.	Heinrich, Rev. J.	37	7	1997
Taringa Baptist Church Centenary & Rev J. Voller, BHSW Celebration, 37 - July 1997	Taringa Baptist Church Centenary & Rev J. Voller		BHSW Celebration	37	7	1997
About that which we sing, Grieve, Catherine, Music - Church, 38 - Dec 1997	About that which we sing	Grieve, Catherine	Music - Church	38	12	1997
German Baptists Revisited II, Parker, David, German Baptists, 38 - Dec 1997	German Baptists Revisited II	Parker, David	German Baptists	38	12	1997
Pastoral Profiles 14 - Shaw, Rev. A.D., Higlett, Rev. W., Shaw, Rev. A. D., 38 - Dec 1997	Pastoral Profiles 14 - Shaw	Rev. A.D., Higlett	Rev. W., Shaw	38	12	1997
Successful launch of James Voller Book, Voller, James, 38 - Dec 1997	Successful launch of James Voller Book		Voller, James	38	12	1997
German Baptists Revisited III Ministerial List, Parker, David, German Baptists, 39 - April 1998	German Baptists Revisited III Ministerial List	Parker, David	German Baptists	39	4	1998
Pastoral Profiles 15 - Kingsford, Rev. J., Higlett, Rev. W., Kingsford, Rev. J., 39 - April 1998	Pastoral Profiles 15 - Kingsford	Rev. J., Higlett	Rev. W., Kingsford	39	4	1998
Sketches of bush work in Queensland, Higlett, Rev. W., Bush ministry, 39 - April 1998	Sketches of bush work in Queensland	Higlett, Rev. W.	Bush ministry	39	4	1998
